City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Alta Floresta,BR,2022-03-26 20:02:16,-9.8756,-56.0861,81.57,90,99,2.98
216,Olinda,BR,2022-03-26 20:02:16,-8.0089,-34.8553,80.85,76,84,6.11
217,Karpinsk,RU,2022-03-26 20:02:16,59.7654,60.0085,23.27,94,100,11.52
218,Saint-Louis,SN,2022-03-26 20:02:16,16.3333,-15.0,84.65,16,58,17.47
219,Pedro Juan Caballero,PY,2022-03-26 20:02:17,-22.5472,-55.7333,78.91,35,10,4.74
220,Upington,ZA,2022-03-26 20:02:17,-28.4478,21.2561,77.61,21,0,8.63
221,Inta,RU,2022-03-26 20:02:17,66.0317,60.1659,0.99,98,100,8.14
222,Japura,ID,2022-03-26 20:02:18,-0.3167,102.35,74.37,97,5,1.77
223,Pafos,CY,2022-03-26 20:02:18,34.7667,32.4167,53.38,82,40,4.61
224,Sinnamary,GF,2022-03-26 19:58:12,5.3833,-52.95,79.84,78,84,13.51
225,Vardo,NO,2022-03-26 20:03:18,70.3705,31.1107,27.19,58,100,27.18
226,Luderitz,NA,2022-03-26 20:03:18,-26.6481,15.1594,65.48,70,0,7.34
227,Kismayo,SO,2022-03-26 20:03:19,-0.3582,42.5454,80.76,84,17,8.01
228,Bandarbeyla,SO,2022-03-26 20:03:19,9.4942,50.8122,77.38,62,28,10.22
229,Verkhnyaya Toyma,RU,2022-03-26 20:03:19,62.2349,44.9985,33.19,98,100,7.18
230,Camacari,BR,2022-03-26 20:03:20,-12.6975,-38.3242,85.77,74,67,5.97
231,Juan Lacaze,UY,2022-03-26 20:03:20,-34.4342,-57.4381,68.11,71,73,15.01
232,Tromso,NO,2022-03-26 20:03:20,69.6496,18.957,20.37,86,75,3.44
233,Mbandaka,CD,2022-03-26 20:03:20,0.0487,18.2603,75.15,84,63,2.84
234,Lagoa,PT,2022-03-26 20:03:21,39.05,-27.9833,59.54,87,100,25.97
235,Bathsheba,BB,2022-03-26 20:03:21,13.2167,-59.5167,79.9,72,100,16.13
236,Pelotas,BR,2022-03-26 20:03:21,-31.7719,-52.3425,71.85,69,100,1.01
237,Taltal,CL,2022-03-26 20:03:21,-25.4,-70.4833,68.52,71,22,7.4
238,Remedios,CU,2022-03-26 20:03:22,22.4947,-79.5458,76.28,60,97,15.28
239,Saint-Augustin,CA,2022-03-26 20:03:22,51.226,-58.6502,32.7,99,100,19.69
240,Aleppo,SY,2022-03-26 20:03:22,36.25,37.5,45.97,85,100,14.41
241,Pisco,PE,2022-03-26 20:03:23,-13.7,-76.2167,77.32,60,57,6.96
242,Barwadih,IN,2022-03-26 20:03:23,23.8333,84.1167,72.43,15,0,4.41
243,Rocha,UY,2022-03-26 20:03:23,-34.4833,-54.3333,67.15,79,72,15.99
244,Zaysan,KZ,2022-03-26 20:03:23,47.4667,84.8667,28.83,80,100,1.81
245,Chute-Aux-Outardes,CA,2022-03-26 20:03:24,49.1168,-68.399,32.52,95,82,6.82
246,Otjiwarongo,NA,2022-03-26 20:03:14,-20.4637,16.6477,66.65,39,0,4.45
247,Salinas,US,2022-03-26 20:03:24,36.6777,-121.6555,80.01,61,0,13.8
248,Albion,US,2022-03-26 20:03:24,42.2431,-84.753,33.19,77,100,16.11
249,Kovdor,RU,2022-03-26 19:58:43,67.5662,30.4758,13.51,83,12,12.08
250,Conde,BR,2022-03-26 20:03:24,-7.2597,-34.9075,79.05,81,100,6.67
251,Arani,IN,2022-03-26 20:03:25,12.6667,79.2833,78.67,85,0,4.94
252,Povenets,RU,2022-03-26 20:03:25,62.8487,34.8262,21.63,74,100,25.72
253,Brigantine,US,2022-03-26 20:03:25,39.4101,-74.3646,53.04,60,40,16.11
254,Bosaso,SO,2022-03-26 20:03:26,11.2842,49.1816,76.62,69,4,1.5
255,Gagra,GE,2022-03-26 20:03:26,43.3283,40.2239,43.72,85,100,10.11
256,Aksu,CN,2022-03-26 20:03:26,41.1231,80.2644,48.97,47,86,5.1
257,Saquena,PE,2022-03-26 20:03:26,-4.6667,-73.5167,83.01,82,100,1.88
258,Hualmay,PE,2022-03-26 20:03:27,-11.0964,-77.6139,74.77,72,100,9.6
259,Ambilobe,MG,2022-03-26 20:03:27,-13.2,49.05,74.88,97,7,2.48
260,Maraa,BR,2022-03-26 20:03:27,-1.8333,-65.3667,82.49,87,95,2.26
261,Bayonet Point,US,2022-03-26 20:00:42,28.3267,-82.6834,76.15,56,0,8.99
262,Bundi,IN,2022-03-26 20:03:27,25.4417,75.6417,78.6,10,0,4.0
263,Talas,TR,2022-03-26 20:03:28,38.6908,35.5538,29.07,86,75,3.44
264,Gao,ML,2022-03-26 20:03:28,16.6362,1.637,86.97,11,6,11.72
265,Rio Tercero,AR,2022-03-26 20:03:28,-32.173,-64.1141,81.45,16,0,6.02
266,Menongue,AO,2022-03-26 20:03:28,-14.6585,17.691,68.02,82,97,2.06
267,Urrao,CO,2022-03-26 20:03:29,6.3152,-76.1342,67.86,83,93,2.46
268,Miquelon,PM,2022-03-26 20:03:29,47.0975,-56.3814,37.4,92,97,23.24
269,Bud,US,2022-03-26 20:03:29,39.447,-86.1758,39.67,66,100,18.61
270,Umba,RU,2022-03-26 20:03:30,66.6871,34.3429,16.16,84,41,11.25
271,Muzhi,RU,2022-03-26 20:03:30,65.3667,64.6667,-0.44,91,97,4.32
272,Ylivieska,FI,2022-03-26 20:04:30,64.0833,24.55,22.32,72,0,11.01
273,Sergeyevka,KZ,2022-03-26 20:04:30,53.88,67.4158,12.51,91,100,10.6
274,Hedaru,TZ,2022-03-26 20:04:31,-4.5,37.9,73.71,79,72,2.84
275,Tsarychanka,UA,2022-03-26 20:04:31,48.937,34.4786,48.47,82,100,21.0
276,Valuyki,RU,2022-03-26 20:04:31,50.2035,38.1067,44.13,89,100,19.62
277,Barmer,IN,2022-03-26 20:04:32,25.75,71.3833,78.82,18,4,7.83
278,Kaniama,CD,2022-03-26 20:04:32,-7.5667,24.1833,68.65,96,62,1.63
279,Saint Anthony,US,2022-03-26 20:00:43,45.0205,-93.218,33.76,35,0,19.57
280,Gat,IL,2022-03-26 20:04:32,31.61,34.7642,54.39,100,0,3.2
281,Maraba,BR,2022-03-26 20:02:49,-5.3686,-49.1178,82.18,89,51,1.57
282,Mitu,CO,2022-03-26 20:04:32,1.1983,-70.1733,80.13,90,100,1.9
283,Santa Maria Da Boa Vista,BR,2022-03-26 20:04:33,-8.8078,-39.8256,93.78,31,93,8.59
284,Banepa,NP,2022-03-26 20:04:33,27.6298,85.5214,57.52,58,20,4.61
285,Mabaruma,GY,2022-03-26 20:04:33,8.2,-59.7833,80.2,78,100,7.25
286,Baglan,AF,2022-03-26 20:04:33,36.1307,68.7083,58.68,51,28,3.58
287,Arvika,SE,2022-03-26 20:04:34,59.6553,12.5852,32.61,67,99,1.7
288,Marawi,PH,2022-03-26 20:04:34,7.9986,124.2928,67.69,98,100,2.73
289,Ichnya,UA,2022-03-26 20:04:34,50.8626,32.3942,40.78,67,95,20.47
290,Mala,PE,2022-03-26 19:59:55,-12.6581,-76.6308,74.75,73,83,8.25
291,Tocopilla,CL,2022-03-26 20:04:35,-22.092,-70.1979,71.98,65,21,10.0
